LocationID,LocationName,StateAbbr,diabetes_prev,obesity_prev,physical_inactivity_prev,hypertension_prev,smoking_prev,fips,fastfood_density,grocery_density,snap_rate,food_insecurity_rate,NAME,total_pop,poverty_rate,median_income,unemployment_rate,pct_college_edu,pct_white,pct_black,pct_hispanic,pct_age65plus,pct_agri_sector,pct_mfg_sector,pct_foodsvc_sector,rucc_code,rural_flag
1095,Marshall,AL,12.4,37.6,30.8,41.7,16.6,01095,0.9691720604896544,0.2371378540992737,15.25961433861958,11.5,"Marshall County, Alabama",98712.0,16.05,60946.0,3.7,21.33,82.08,2.61,16.57,16.97,1.66,19.15,8.77,4.0,1.0
1039,Covington,AL,12.8,37.9,31.9,46.4,17.6,01039,0.8665041923522949,0.1353912800550461,15.25961433861958,11.5,"Covington County, Alabama",37647.0,17.75,50886.0,4.56,17.18,83.21,11.73,1.93,21.91,5.23,14.13,6.85,6.0,1.0
5057,Hempstead,AR,13.6,45.6,39.7,46.2,17.7,05057,0.7998870611190796,0.1882087290287018,7.841643636454378,18.9,"Hempstead County, Arkansas",19778.0,18.72,47654.0,3.87,14.6,55.47,29.72,14.94,18.67,9.84,20.2,4.46,6.0,1.0
5093,Mississippi,AR,13.4,46.6,36.7,46.4,18.8,05093,0.8236410021781921,0.1996705383062363,7.841643636454378,18.9,"Mississippi County, Arkansas",39749.0,20.5,53428.0,8.36,14.18,57.48,34.81,4.68,15.22,4.4,26.21,4.28,4.0,1.0
5043,Drew,AR,13.5,43.8,35.8,44.7,17.4,05043,0.7787728905677795,,7.841643636454378,18.9,"Drew County, Arkansas",17143.0,21.7,41071.0,5.13,23.33,65.72,26.72,4.12,17.95,5.59,11.13,6.41,6.0,1.0
5145,White,AR,10.9,39.7,32.5,40.4,17.4,05145,0.736704409122467,0.1397197991609573,7.841643636454378,18.9,"White County, Arkansas",77395.0,15.75,53435.0,5.1,19.8,87.85,4.41,4.77,16.56,1.36,12.63,5.84,4.0,1.0
5101,Newton,AR,10.9,38.6,34.2,47.4,17.8,05101,,0.3946329951286316,7.841643636454378,18.9,"Newton County, Arkansas",7175.0,13.17,47395.0,3.95,14.25,93.63,0.15,1.71,27.04,3.29,17.65,5.57,9.0,1.0
5041,Desha,AR,17.1,46.6,46.2,52.8,22.3,05041,0.9000900387763977,0.3600360155105591,7.841643636454378,18.9,"Desha County, Arkansas",11041.0,28.66,36064.0,4.28,13.03,44.93,48.65,6.93,19.64,9.15,13.42,5.13,6.0,1.0
1077,Lauderdale,AL,11.0,35.6,26.7,39.6,14.2,01077,0.8246936798095703,0.2034958451986313,15.25961433861958,11.5,"Lauderdale County, Alabama",95037.0,13.24,59082.0,3.93,27.08,83.47,9.69,3.33,20.17,0.75,14.72,6.69,3.0,0.0
1025,Clarke,AL,14.9,43.9,34.4,49.5,17.7,01025,1.15924608707428,0.2576102316379547,15.25961433861958,11.5,"Clarke County, Alabama",22802.0,20.2,49167.0,13.16,15.43,51.53,45.43,1.14,20.62,3.86,16.5,5.34,7.0,1.0
2060,Bristol Bay,AK,9.1,34.9,22.2,36.3,16.5,02060,,,11.31242136199994,10.4,"Bristol Bay Borough, Alaska",878.0,9.45,100625.0,4.03,25.14,48.18,0.57,8.31,13.78,14.35,9.93,1.77,9.0,1.0
6033,Lake,CA,10.7,32.7,27.8,39.6,15.2,06033,0.5428124070167542,0.3722141981124878,11.66618694212165,11.4,"Lake County, California",68139.0,16.37,58738.0,11.46,17.74,69.23,2.17,23.75,23.64,4.71,5.4,9.28,4.0,1.0
1043,Cullman,AL,11.0,36.4,27.3,42.3,16.6,01043,0.8164231181144714,0.1419866234064102,15.25961433861958,11.5,"Cullman County, Alabama",89463.0,13.75,60916.0,4.18,19.09,90.99,1.07,4.86,18.94,2.03,15.42,7.14,4.0,1.0
6061,Placer,CA,7.9,27.3,19.1,32.7,9.4,06061,0.8785209059715271,0.1613103300333023,11.66618694212165,11.4,"Placer County, California",412435.0,6.65,114678.0,4.49,42.89,72.5,1.65,15.38,20.18,0.62,6.0,13.69,1.0,0.0
6003,Alpine,CA,8.5,28.4,19.4,35.7,11.0,06003,2.680965185165405,,11.66618694212165,11.4,"Alpine County, California",1695.0,12.33,110781.0,3.6,42.11,63.48,0.0,14.69,21.77,6.95,5.53,10.17,8.0,1.0
2290,Yukon-Koyukuk,AK,13.9,36.9,29.4,41.4,27.4,02290,,2.16663384437561,11.31242136199994,10.4,"Yukon-Koyukuk Census Area, Alaska",5271.0,20.6,52642.0,6.49,12.79,22.69,1.25,2.07,16.51,3.57,5.98,1.93,9.0,1.0
5079,Lincoln,AR,13.5,42.6,36.2,43.2,19.9,05079,0.4635352194309235,,7.841643636454378,18.9,"Lincoln County, Arkansas",12966.0,11.66,51667.0,2.35,10.88,62.05,28.56,4.93,14.98,7.1,14.87,2.64,3.0,0.0
5005,Baxter,AR,10.3,37.7,33.4,47.0,16.6,05005,0.6628473997116089,0.1657118499279022,7.841643636454378,18.9,"Baxter County, Arkansas",42150.0,14.3,48427.0,5.6,18.75,92.89,0.38,2.74,31.07,1.49,19.8,5.48,7.0,1.0
5035,Crittenden,AR,14.8,46.7,38.7,47.4,18.5,05035,0.777049720287323,0.147009402513504,7.841643636454378,18.9,"Crittenden County, Arkansas",47609.0,20.34,54271.0,9.41,17.2,40.36,50.44,3.1,14.83,2.47,10.16,7.02,1.0,0.0
6037,Los Angeles,CA,11.6,26.5,26.2,30.2,11.2,06037,0.8790062665939331,0.1918929070234299,11.66618694212165,11.4,"Los Angeles County, California",9848406.0,13.43,87760.0,7.03,35.47,35.43,7.81,48.27,14.71,0.46,8.58,13.76,1.0,0.0
4025,Yavapai,AZ,8.0,27.0,22.5,38.0,12.0,04025,0.5827845335006714,0.1123941615223885,12.02125721053533,11.8,"Yavapai County, Arizona",241656.0,12.37,66106.0,4.21,29.6,82.67,0.57,14.99,33.47,2.16,5.6,11.52,3.0,0.0
4001,Apache,AZ,15.3,35.8,28.7,36.0,22.4,04001,0.1947826147079468,0.1113043501973152,12.02125721053533,11.8,"Apache County, Arizona",65680.0,30.56,40338.0,10.02,15.27,20.24,0.95,6.23,16.23,2.91,1.35,4.35,6.0,1.0
5131,Sebastian,AR,11.5,36.2,33.3,40.7,16.1,05131,0.8307861089706421,0.1645897030830383,7.841643636454378,18.9,"Sebastian County, Arkansas",128448.0,16.01,56450.0,5.81,24.38,69.22,5.73,15.59,16.74,1.29,17.29,10.72,2.0,0.0
4012,La Paz,AZ,11.5,33.2,32.1,46.3,14.1,04012,0.884543776512146,0.3258845508098602,12.02125721053533,11.8,"La Paz County, Arizona",16605.0,18.07,49506.0,10.84,13.86,61.32,0.42,25.47,42.23,7.67,3.91,6.03,6.0,1.0
1029,Cleburne,AL,11.7,37.4,30.5,42.9,17.8,01029,0.5345092415809631,,15.25961433861958,11.5,"Cleburne County, Alabama",15254.0,13.01,53319.0,1.55,18.21,92.81,3.92,2.01,20.43,1.59,19.07,6.14,8.0,1.0
2050,Bethel,AK,14.7,39.1,33.3,37.5,31.0,02050,0.3254325687885284,1.139013886451721,11.31242136199994,10.4,"Bethel Census Area, Alaska",18487.0,23.54,70616.0,14.1,10.39,8.75,1.15,1.39,8.02,7.08,1.02,7.46,7.0,1.0
1021,Chilton,AL,12.0,40.0,31.1,43.1,16.9,01021,0.6081491708755493,0.0900961756706237,15.25961433861958,11.5,"Chilton County, Alabama",45500.0,13.43,61873.0,5.4,15.25,80.91,9.18,9.87,16.89,3.07,13.93,5.27,1.0,0.0
1081,Lee,AL,12.7,38.4,25.0,37.5,12.9,01081,0.9111016392707824,0.1318699717521667,15.25961433861958,11.5,"Lee County, Alabama",177663.0,18.08,61123.0,3.71,41.33,67.74,22.33,5.25,12.93,0.82,11.79,9.95,3.0,0.0
1133,Winston,AL,12.7,39.1,34.1,46.9,19.6,01133,0.5104645490646362,0.2126935571432114,15.25961433861958,11.5,"Winston County, Alabama",23637.0,19.06,48032.0,4.17,13.37,92.77,1.2,3.49,21.87,2.28,22.98,4.24,6.0,1.0
5095,Monroe,AR,14.3,43.5,39.6,52.3,19.1,05095,1.518833518028259,0.4556500613689423,7.841643636454378,18.9,"Monroe County, Arkansas",6681.0,21.73,43955.0,9.41,15.64,53.44,40.22,2.83,23.26,8.51,17.8,6.51,7.0,1.0
2016,Aleutians West,AK,11.4,31.9,25.2,30.7,16.2,02016,,,11.31242136199994,10.4,"Aleutians West Census Area, Alaska",5178.0,8.86,107344.0,4.07,17.52,24.6,5.27,13.81,6.37,1.65,31.25,2.73,9.0,1.0
2066,Copper River,AK,8.9,33.6,23.2,38.3,17.8,02066,,,11.31242136199994,10.4,"Copper River Census Area, Alaska",2626.0,11.23,75053.0,7.6,28.35,53.43,0.11,3.88,21.97,1.7,3.69,2.46,,
5107,Phillips,AR,17.2,48.4,44.1,55.6,21.0,05107,0.4046476781368256,0.231227234005928,7.841643636454378,18.9,"Phillips County, Arkansas",15910.0,28.5,38874.0,15.85,14.53,34.43,61.45,1.92,20.14,4.99,16.95,3.82,6.0,1.0
5099,Nevada,AR,14.2,44.0,40.8,51.0,20.4,05099,0.3704161047935486,,7.841643636454378,18.9,"Nevada County, Arkansas",8228.0,27.93,41761.0,8.35,11.67,64.9,31.92,4.61,21.15,3.11,16.54,2.36,7.0,1.0
1031,Coffee,AL,12.7,41.0,29.9,43.5,16.6,01031,0.9205335378646852,0.1127183884382248,15.25961433861958,11.5,"Coffee County, Alabama",54231.0,17.35,64672.0,4.35,21.53,71.51,16.58,9.4,17.11,2.2,9.97,8.8,4.0,1.0
2070,Dillingham,AK,12.5,38.5,29.1,34.4,25.7,02070,,1.034554123878479,11.31242136199994,10.4,"Dillingham Census Area, Alaska",4780.0,16.19,74250.0,10.75,19.35,15.33,0.63,3.43,12.43,8.8,1.97,2.45,9.0,1.0
5113,Polk,AR,11.8,40.0,35.8,44.8,18.6,05113,0.4059471189975739,,7.841643636454378,18.9,"Polk County, Arkansas",19348.0,18.66,49252.0,8.39,17.2,89.44,0.09,6.85,22.53,6.66,14.11,4.31,7.0,1.0
5061,Howard,AR,12.5,39.4,36.0,44.3,17.1,05061,0.8391181826591492,,7.841643636454378,18.9,"Howard County, Arkansas",12701.0,19.5,44492.0,7.45,16.68,64.37,20.8,12.27,18.35,8.92,32.52,2.58,6.0,1.0
1091,Marengo,AL,16.1,43.1,34.6,51.5,17.5,01091,1.067634701728821,0.2135269343852997,15.25961433861958,11.5,"Marengo County, Alabama",19027.0,22.29,44205.0,2.4,20.41,45.05,51.34,2.38,20.19,4.76,20.99,3.75,7.0,1.0
4021,Pinal,AZ,10.9,38.4,25.5,36.2,12.3,04021,0.3078023791313171,0.0499138981103897,12.02125721053533,11.8,"Pinal County, Arizona",449219.0,10.39,77588.0,5.84,22.15,65.96,5.03,29.33,21.32,2.3,8.81,10.94,1.0,0.0
6015,Del Norte,CA,10.2,31.0,25.6,36.0,15.0,06015,0.321796327829361,0.1430206000804901,11.66618694212165,11.4,"Del Norte County, California",27293.0,10.63,66780.0,6.42,20.97,67.11,2.95,19.6,19.76,5.14,5.55,5.73,7.0,1.0
1107,Pickens,AL,15.2,48.0,34.8,48.3,18.7,01107,0.353660374879837,0.2020916491746902,15.25961433861958,11.5,"Pickens County, Alabama",18843.0,20.58,47014.0,6.49,13.75,58.2,39.27,5.77,19.5,2.59,23.86,3.72,3.0,0.0
5109,Pike,AR,11.4,38.3,34.4,44.3,17.4,05109,0.3758338689804077,0.3758338689804077,7.841643636454378,18.9,"Pike County, Arkansas",10182.0,18.38,51000.0,2.58,19.56,87.82,3.85,7.87,20.51,4.69,14.76,3.1,9.0,1.0
5147,Woodruff,AR,13.7,39.2,40.7,49.8,20.2,05147,0.6385695934295654,0.4789271950721741,7.841643636454378,18.9,"Woodruff County, Arkansas",6157.0,22.1,49982.0,6.27,15.89,69.66,27.14,0.58,24.38,8.74,10.02,4.14,9.0,1.0
2275,Wrangell,AK,9.1,34.8,24.6,40.8,17.0,02275,,,11.31242136199994,10.4,"Wrangell City and Borough, Alaska",2106.0,10.78,64545.0,3.52,18.88,55.13,0.09,5.51,23.88,8.94,8.47,3.88,9.0,1.0
6001,Alameda,CA,10.1,22.8,20.6,28.5,9.3,06001,0.8271557092666626,0.2195722460746765,11.66618694212165,11.4,"Alameda County, California",1651949.0,9.07,126240.0,5.17,51.47,31.99,9.92,23.32,14.94,0.34,10.01,20.91,1.0,0.0
5047,Franklin,AR,11.7,39.8,35.5,44.6,19.5,05047,0.3352517187595367,0.1676258593797684,7.841643636454378,18.9,"Franklin County, Arkansas",17220.0,18.57,51919.0,4.41,13.16,86.25,0.25,3.18,20.29,5.33,22.89,3.4,6.0,1.0
1083,Limestone,AL,10.9,39.6,25.4,40.7,14.2,01083,0.4793207347393036,0.0782564431428909,15.25961433861958,11.5,"Limestone County, Alabama",107577.0,9.82,83534.0,3.7,30.39,75.31,12.75,7.24,15.38,1.54,17.9,13.12,2.0,0.0
6065,Riverside,CA,11.3,36.8,27.3,33.3,11.5,06065,0.6962109804153442,0.1418133080005646,11.66618694212165,11.4,"Riverside County, California",2449909.0,10.9,89672.0,6.58,25.08,42.17,6.48,50.6,15.15,1.3,8.09,10.49,1.0,0.0
5089,Marion,AR,11.1,37.9,34.8,46.3,18.0,05089,0.4169148206710815,0.1786777824163437,7.841643636454378,18.9,"Marion County, Arkansas",17076.0,17.62,46953.0,6.46,15.44,94.03,0.19,2.61,29.1,1.33,27.9,8.1,9.0,1.0
