fips,dominant,census_region
46007,poverty_rate,Midwest
39127,food_insecurity_rate,Midwest
02130,unemployment_rate,West
29031,fastfood_density,Midwest
51530,poverty_rate,South
36045,feci,Northeast
48475,food_insecurity_rate,South
27039,fastfood_density,Midwest
48097,food_insecurity_rate,South
47167,food_insecurity_rate,South
46091,feci,Midwest
48021,food_insecurity_rate,South
55059,unemployment_rate,Midwest
55027,pct_mfg_sector,Midwest
26035,poverty_rate,Midwest
05129,poverty_rate,South
37073,food_desert_index,South
54073,snap_rate,South
37067,food_desert_index,South
05037,poverty_rate,South
01003,food_insecurity_rate,South
24025,feci,South
29159,food_desert_index,Midwest
22123,median_income,South
47157,poverty_rate,South
41057,snap_rate,West
13291,food_insecurity_rate,South
17139,snap_rate,Midwest
39107,food_insecurity_rate,Midwest
12009,food_insecurity_rate,South
48077,food_insecurity_rate,South
51680,snap_rate,South
34021,fastfood_density,Northeast
17147,snap_rate,Midwest
05125,feci,South
55121,pct_mfg_sector,Midwest
47069,food_insecurity_rate,South
24029,food_desert_index,South
47063,food_insecurity_rate,South
44003,unemployment_rate,Northeast
30087,poverty_rate,West
22019,poverty_rate,South
20039,median_income,Midwest
34037,feci,Northeast
20111,poverty_rate,Midwest
39149,food_insecurity_rate,Midwest
37015,median_income,South
26145,poverty_rate,Midwest
55099,pct_mfg_sector,Midwest
06017,unemployment_rate,West
39145,poverty_rate,Midwest
39061,food_insecurity_rate,Midwest
51081,snap_rate,South
20153,feci,Midwest
17119,snap_rate,Midwest
56035,fastfood_density,West
54011,snap_rate,South
46067,pct_agri_sector,Midwest
27005,grocery_density,Midwest
51750,poverty_rate,South
13001,poverty_rate,South
36095,grocery_density,Northeast
48233,food_insecurity_rate,South
29041,pct_agri_sector,Midwest
31047,feci,Midwest
39035,poverty_rate,Midwest
28021,poverty_rate,South
47001,food_insecurity_rate,South
13153,food_insecurity_rate,South
48333,food_insecurity_rate,South
51595,snap_rate,South
19019,fastfood_density,Midwest
36049,food_desert_index,Northeast
54037,snap_rate,South
13113,food_insecurity_rate,South
40109,poverty_rate,South
01057,poverty_rate,South
25013,poverty_rate,Northeast
28007,poverty_rate,South
48317,food_insecurity_rate,South
18049,food_insecurity_rate,Midwest
54085,poverty_rate,South
48225,food_insecurity_rate,South
01021,food_insecurity_rate,South
17023,snap_rate,Midwest
13023,poverty_rate,South
27135,pct_mfg_sector,Midwest
47065,food_insecurity_rate,South
39081,food_insecurity_rate,Midwest
13085,food_insecurity_rate,South
40111,median_income,South
54033,snap_rate,South
37085,unemployment_rate,South
31027,pct_agri_sector,Midwest
26055,food_insecurity_rate,Midwest
54043,snap_rate,South
40087,unemployment_rate,South
08099,poverty_rate,West
34035,pct_agri_sector,Northeast
51017,poverty_rate,South
29091,poverty_rate,Midwest
31081,feci,Midwest
40121,median_income,South
13197,food_insecurity_rate,South
19017,pct_mfg_sector,Midwest
55133,grocery_density,Midwest
54087,snap_rate,South
55015,pct_mfg_sector,Midwest
20069,feci,Midwest
54103,snap_rate,South
40029,poverty_rate,South
28093,poverty_rate,South
26005,food_insecurity_rate,Midwest
36027,unemployment_rate,Northeast
54091,snap_rate,South
36065,unemployment_rate,Northeast
13249,food_insecurity_rate,South
56007,pct_agri_sector,West
53027,food_desert_index,West
13003,poverty_rate,South
31073,feci,Midwest
37097,feci,South
31085,feci,Midwest
40125,poverty_rate,South
29067,median_income,Midwest
45019,food_insecurity_rate,South
01109,poverty_rate,South
48277,poverty_rate,South
30095,unemployment_rate,West
31127,pct_agri_sector,Midwest
05141,poverty_rate,South
47089,food_insecurity_rate,South
27007,poverty_rate,Midwest
27101,pct_agri_sector,Midwest
26139,food_insecurity_rate,Midwest
06075,fastfood_density,West
48251,food_insecurity_rate,South
12067,food_insecurity_rate,South
48413,food_insecurity_rate,South
55009,unemployment_rate,Midwest
39071,food_insecurity_rate,Midwest
29147,poverty_rate,Midwest
39065,food_insecurity_rate,Midwest
36085,pct_agri_sector,Northeast
